year,temperature,rainfall,mosquitos
1960,87,270,122
1961,77,296,116
1962,87,281,117
1963,73,167,87
1964,79,166,91
1965,76,272,113
1966,77,140,87
1967,87,207,106
1968,86,266,115
1969,79,159,92
1970,73,198,95
1971,79,252,108
1972,71,153,84
1973,82,281,116
1974,80,295,120
1975,86,166,99
1976,87,298,123
1977,79,184,95
1978,74,129,79
1979,86,157,95
1980,71,294,110
1981,77,115,77
1982,71,267,106
1983,89,164,99
1984,75,175,90
1985,70,210,95
1986,72,214,99
1987,79,123,81
1988,74,195,96
1989,84,129,90
1990,80,276,111
1991,73,147,82
1992,73,140,80
1993,78,285,115
1994,71,280,107
1995,80,180,95
1996,90,280,119
1997,86,166,100
1998,82,285,117
1999,75,215,101
2000,86,212,101
2001,72,138,83
2002,84,130,85
2003,74,166,87
2004,87,280,121
2005,85,130,88
2006,83,102,77
2007,85,163,94
2008,83,190,99
2009,79,151,88
2010,88,295,122
