year,temperature,rainfall,mosquitos
1960,82,200,180
1961,70,227,194
1962,89,231,207
1963,74,114,121
1964,78,147,140
1965,85,151,148
1966,86,172,162
1967,75,106,112
1968,70,276,230
1969,86,165,162
1970,83,222,198
1971,78,297,247
1972,87,288,248
1973,76,286,239
1974,86,231,202
1975,90,284,243
1976,76,190,175
1977,87,257,225
1978,88,128,133
1979,87,218,199
1980,81,206,184
1981,74,175,160
1982,85,202,187
1983,71,130,126
1984,80,225,200
1985,72,196,173
1986,76,261,222
1987,85,111,121
1988,83,247,210
1989,86,137,142
1990,82,159,152
1991,77,172,160
1992,74,280,231
1993,70,291,238
1994,77,126,125
1995,89,191,178
1996,83,298,248
1997,80,282,237
1998,86,219,195
1999,72,143,134
2000,79,262,221
2001,85,189,175
2002,86,205,186
2003,72,195,173
2004,78,148,146
2005,71,262,219
2006,88,255,226
2007,79,262,221
2008,73,198,176
2009,86,215,187
2010,87,127,129
